Method,Average SNR,Min SNR,Max SNR
unscaled_binary-DCT,19.67605189371171,-0.6672990249410029,30.559628151465525
unscaled_binary-MOD,33.171551413794134,28.09988749403527,37.561358371511645
unscaled_binary-KSVD,31.73842556762658,25.312842377183195,36.768412405828364
unscaled_binary-DCT-KRON,19.957084500952444,-0.9039603316319288,30.535389451312618
unscaled_binary-MOD-KRON,41.104888900695116,40.25487782531111,42.311184186154165
unscaled_binary-KSVD-KRON,39.51646183843154,37.93789464756444,40.85277187256962
