Method,Average SNR,Min SNR,Max SNR
unscaled_binary-DCT,16.706483556542317,-1.5825577319000943,34.47071742757545
unscaled_binary-MOD,35.30490607591974,21.479243653366133,40.40085820281612
unscaled_binary-KSVD,32.543949408712386,17.398897927664756,40.0770814863949
unscaled_binary-DCT-KRON,17.619374051287686,-1.4387726136063144,33.19033647229246
unscaled_binary-MOD-KRON,38.672461445815884,31.725771366266645,45.0374268882436
unscaled_binary-KSVD-KRON,37.65042384482003,31.393623335781008,43.06942553845863
