Method,Average SNR,Min SNR,Max SNR
unscaled_binary-DCT,-0.5105200954121989,-1.8326742099183142,1.259858565080161
unscaled_binary-MOD,35.27474153892634,33.769624070213986,36.335507624834385
unscaled_binary-KSVD,29.452508170333076,25.938000634640844,31.302968961593216
unscaled_binary-DCT-KRON,2.2623126732964884,-1.7100308720811346,4.962456632096491
unscaled_binary-MOD-KRON,38.37360750758727,36.40381775402704,39.98836340318099
unscaled_binary-KSVD-KRON,36.04860507200217,33.91995416939287,37.952339546040264
