Method,Average SNR,Min SNR,Max SNR
unscaled_binary-DCT,8.968688582059302,7.718998449139911,10.235312865821761
unscaled_binary-MOD,13.81720050671006,11.743239682317679,15.448253117961077
unscaled_binary-KSVD,15.88220220796268,13.549944831040804,18.503972972878376
unscaled_binary-DCT-KRON,7.739160437480265,6.606326718560935,8.849969054460056
unscaled_binary-MOD-KRON,16.364079320086727,9.743864621727864,20.65690287906413
unscaled_binary-KSVD-KRON,14.453834603893966,8.932427940272728,17.70386189907294
